Time,Temperature(C),Humidity(%),Light(lux),Behavior
2025-04-02 05:10,31.6,51.9,1374,Sleeping
2025-04-02 05:20,25.3,59.5,1863,Sleeping
2025-04-02 05:30,25.1,62.5,1482,Grooming
2025-04-02 05:40,28.3,58.7,700,Grooming
2025-04-02 05:50,29.1,60.0,1639,Sleeping
2025-04-02 06:00,31.1,61.6,1813,Grooming
2025-04-02 06:10,28.5,63.8,2064,Eating
2025-04-02 06:20,27.0,61.4,1784,Eating
2025-04-02 06:30,28.3,62.1,1215,Eating
2025-04-02 06:40,30.2,60.5,1727,Eating
2025-04-02 06:50,28.1,62.4,1882,Eating
2025-04-02 07:00,25.7,63.8,1105,Grooming
2025-04-02 07:10,29.4,60.2,1454,Eating
2025-04-02 07:20,29.4,61.8,2406,Eating
2025-04-02 07:30,27.4,69.0,1593,Eating
2025-04-02 07:40,25.0,57.2,1545,Grooming
2025-04-02 07:50,27.0,57.5,1852,Eating
2025-04-02 08:00,28.0,61.6,840,Eating
2025-04-02 08:10,26.5,65.9,935,Grooming
2025-04-02 08:20,30.3,65.8,1776,Grooming
2025-04-02 08:30,27.4,58.8,1480,Eating
2025-04-02 08:40,27.2,58.1,2350,Grooming
2025-04-02 08:50,26.3,63.7,1423,Eating
2025-04-02 09:00,28.4,67.7,982,Eating
2025-04-02 09:10,28.7,61.3,1691,Eating
2025-04-02 09:20,27.4,65.7,2099,Grooming
2025-04-02 09:30,25.9,62.2,2090,Eating
2025-04-02 09:40,26.6,65.0,2134,Grooming
2025-04-02 09:50,28.4,55.8,2330,Eating
2025-04-02 10:00,30.8,59.4,1229,Idle
2025-04-02 10:10,30.9,60.6,1886,Grooming
2025-04-02 10:20,28.2,64.9,700,Idle
2025-04-02 10:30,25.0,60.6,1228,Eating
2025-04-02 10:40,29.9,59.2,1714,Running
2025-04-02 10:50,26.2,53.9,1935,Grooming
2025-04-02 11:00,26.7,57.7,1427,Running
2025-04-02 11:10,28.4,69.0,1379,Grooming
2025-04-02 11:20,26.7,62.2,1450,Running
2025-04-02 11:30,25.4,57.4,1496,Grooming
2025-04-02 11:40,28.4,57.8,1676,Running
2025-04-02 11:50,27.3,56.9,1268,Running
2025-04-02 12:00,28.0,62.5,2244,Idle
2025-04-02 12:10,25.3,56.2,2321,Eating
2025-04-02 12:20,28.6,56.6,1429,Running
2025-04-02 12:30,28.4,62.0,962,Eating
2025-04-02 12:40,25.0,58.2,797,Eating
2025-04-02 12:50,26.7,55.6,2042,Grooming
2025-04-02 13:00,27.6,57.8,2697,Grooming
2025-04-02 13:10,28.6,54.5,1922,Eating
2025-04-02 13:20,27.8,64.1,700,Eating
2025-04-02 13:30,29.5,56.2,1995,Running
2025-04-02 13:40,29.1,60.6,730,Grooming
2025-04-02 13:50,28.5,61.3,1453,Running
2025-04-02 14:00,27.5,66.3,984,Idle
2025-04-02 14:10,27.4,54.0,1124,Eating
2025-04-02 14:20,25.5,65.5,1433,Eating
2025-04-02 14:30,29.5,68.3,1843,Eating
2025-04-02 14:40,25.0,56.6,1613,Eating
2025-04-02 14:50,28.2,59.2,1529,Running
2025-04-02 15:00,25.5,60.5,1416,Grooming
2025-04-02 15:10,27.6,58.0,1281,Running
2025-04-02 15:20,29.9,60.3,1188,Running
2025-04-02 15:30,29.1,65.3,2208,Eating
2025-04-02 15:40,26.9,61.1,1417,Running
2025-04-02 15:50,30.8,55.9,1594,Idle
2025-04-02 16:00,26.7,67.2,2195,Eating
2025-04-02 16:10,25.9,64.7,1933,Idle
2025-04-02 16:20,28.1,63.4,2047,Grooming
2025-04-02 16:30,27.0,61.4,1608,Running
2025-04-02 16:40,30.8,65.5,1448,Eating
2025-04-02 16:50,30.7,59.6,1384,Idle
2025-04-02 17:00,27.5,64.8,811,Running
2025-04-02 17:10,28.8,58.3,919,Eating
2025-04-02 17:20,25.0,59.9,700,Running
2025-04-02 17:30,28.7,56.5,1338,Running
2025-04-02 17:40,29.7,64.0,1042,Running
2025-04-02 17:50,25.0,51.1,1298,Running
2025-04-02 18:00,27.2,61.3,1003,Running
2025-04-02 18:10,31.3,63.0,1879,Eating
2025-04-02 18:20,25.0,56.6,1432,Running
2025-04-02 18:30,28.7,59.3,821,Eating
2025-04-02 18:40,25.0,62.2,880,Running
2025-04-02 18:50,26.5,63.5,1399,Running
2025-04-02 19:00,30.3,60.6,857,Eating
2025-04-02 19:10,28.1,56.5,1240,Running
2025-04-02 19:20,26.2,62.4,700,Running
2025-04-02 19:30,32.2,61.1,1198,Eating
2025-04-02 19:40,25.5,60.2,1266,Eating
2025-04-02 19:50,27.8,57.5,1325,Running
2025-04-02 20:00,28.4,61.7,1045,Running
2025-04-02 20:10,30.3,58.8,2395,Eating
2025-04-02 20:20,27.5,58.6,2130,Running
2025-04-02 20:30,28.7,58.8,2042,Eating
2025-04-02 20:40,28.9,59.2,1183,Running
2025-04-02 20:50,25.3,65.3,1570,Running
2025-04-02 21:00,26.8,54.6,1048,Idle
2025-04-02 21:10,29.7,60.6,1286,Sleeping
2025-04-02 21:20,27.8,57.4,1965,Sleeping
2025-04-02 21:30,26.9,62.6,1169,Sleeping
2025-04-02 21:40,30.1,63.0,1465,Idle
2025-04-02 21:50,25.5,63.3,1219,Grooming
2025-04-02 22:00,26.5,62.8,1439,Sleeping
2025-04-02 22:10,29.3,55.7,1459,Sleeping
2025-04-02 22:20,30.6,57.5,832,Grooming
2025-04-02 22:30,25.3,57.6,1544,Sleeping
2025-04-02 22:40,27.8,61.8,1946,Sleeping
2025-04-02 22:50,27.0,57.6,1786,Sleeping
2025-04-02 23:00,25.0,58.9,1365,Grooming
2025-04-02 23:10,25.1,61.7,873,Idle
2025-04-02 23:20,28.3,60.0,2285,Grooming
2025-04-02 23:30,26.7,55.6,1720,Sleeping
2025-04-02 23:40,29.5,60.0,1449,Sleeping
2025-04-02 23:50,30.3,53.3,1618,Idle
2025-04-03 00:00,27.9,63.9,1387,Sleeping
2025-04-03 00:10,30.7,65.0,1523,Grooming
2025-04-03 00:20,31.6,58.4,1593,Idle
2025-04-03 00:30,27.9,56.8,2140,Sleeping
2025-04-03 00:40,27.6,62.8,2171,Idle
2025-04-03 00:50,27.2,61.9,1483,Sleeping
2025-04-03 01:00,26.4,56.5,1225,Sleeping
2025-04-03 01:10,25.6,70.0,1870,Idle
2025-04-03 01:20,29.4,57.6,2001,Sleeping
2025-04-03 01:30,30.5,59.8,2225,Grooming
2025-04-03 01:40,28.8,59.8,1633,Sleeping
2025-04-03 01:50,26.2,64.2,895,Grooming
2025-04-03 02:00,26.1,64.7,2366,Idle
2025-04-03 02:10,26.5,63.0,2109,Grooming
2025-04-03 02:20,27.9,58.2,908,Idle
2025-04-03 02:30,25.0,67.6,2301,Idle
2025-04-03 02:40,26.9,65.8,1678,Grooming
2025-04-03 02:50,25.6,62.3,986,Idle
2025-04-03 03:00,27.7,59.4,1932,Sleeping
2025-04-03 03:10,27.8,56.8,1510,Sleeping
2025-04-03 03:20,27.5,53.9,1938,Idle
2025-04-03 03:30,31.1,63.5,1987,Idle
2025-04-03 03:40,25.0,53.1,1147,Sleeping
2025-04-03 03:50,28.1,67.5,1612,Sleeping
2025-04-03 04:00,26.3,56.1,1969,Sleeping
2025-04-03 04:10,25.0,64.4,2181,Grooming
2025-04-03 04:20,30.2,62.1,1144,Idle
2025-04-03 04:30,27.3,55.4,1020,Sleeping
2025-04-03 04:40,29.3,56.4,1341,Sleeping
2025-04-03 04:50,31.7,62.9,1605,Grooming
2025-04-03 05:00,28.8,54.3,1522,Grooming
2025-04-03 05:10,30.5,55.3,1944,Idle
2025-04-03 05:20,25.0,63.3,1206,Grooming
2025-04-03 05:30,25.0,63.6,2522,Grooming
2025-04-03 05:40,26.1,57.1,1924,Sleeping
2025-04-03 05:50,28.1,62.1,1421,Sleeping
2025-04-03 06:00,28.1,64.8,1953,Eating
2025-04-03 06:10,28.4,58.4,1600,Eating
2025-04-03 06:20,28.4,53.2,1423,Eating
2025-04-03 06:30,27.1,61.3,1641,Eating
2025-04-03 06:40,29.0,57.9,1184,Eating
2025-04-03 06:50,25.6,57.0,1538,Eating
2025-04-03 07:00,27.9,59.2,1263,Eating
2025-04-03 07:10,29.2,62.7,2083,Eating
2025-04-03 07:20,32.5,64.2,1465,Grooming
2025-04-03 07:30,29.5,60.7,2423,Grooming
2025-04-03 07:40,25.8,63.0,1283,Grooming
2025-04-03 07:50,29.5,61.5,1652,Eating
2025-04-03 08:00,30.6,61.1,1370,Eating
2025-04-03 08:10,27.5,61.7,889,Eating
2025-04-03 08:20,26.7,57.9,1234,Eating
2025-04-03 08:30,30.1,62.7,874,Eating
2025-04-03 08:40,29.1,61.4,2102,Eating
2025-04-03 08:50,25.4,61.9,1131,Grooming
2025-04-03 09:00,26.2,51.3,966,Eating
2025-04-03 09:10,27.5,68.1,1781,Eating
2025-04-03 09:20,25.0,59.5,1915,Eating
2025-04-03 09:30,27.9,62.0,1745,Eating
2025-04-03 09:40,25.9,63.3,1241,Eating
2025-04-03 09:50,28.1,65.1,1185,Eating
2025-04-03 10:00,28.9,57.3,1632,Running
2025-04-03 10:10,31.4,65.2,2507,Eating
2025-04-03 10:20,29.7,64.8,1874,Running
2025-04-03 10:30,30.0,62.8,1945,Running
2025-04-03 10:40,30.3,61.7,2237,Idle
2025-04-03 10:50,28.1,63.1,1705,Running
2025-04-03 11:00,27.9,58.4,2434,Idle
2025-04-03 11:10,27.6,68.8,1838,Idle
2025-04-03 11:20,26.9,64.7,700,Idle
2025-04-03 11:30,30.9,63.9,1782,Grooming
2025-04-03 11:40,27.9,60.9,1854,Running
2025-04-03 11:50,34.0,60.0,808,Grooming
2025-04-03 12:00,31.7,59.3,1265,Grooming
2025-04-03 12:10,29.4,58.6,1104,Running
2025-04-03 12:20,28.7,57.7,2155,Grooming
2025-04-03 12:30,27.2,64.5,1879,Running
2025-04-03 12:40,26.9,70.0,1014,Eating
2025-04-03 12:50,26.6,60.4,1568,Running
2025-04-03 13:00,27.4,55.7,1190,Running
2025-04-03 13:10,29.2,60.0,1214,Running
2025-04-03 13:20,25.0,58.9,1816,Eating
2025-04-03 13:30,25.7,56.7,1632,Idle
2025-04-03 13:40,28.3,57.6,1559,Running
2025-04-03 13:50,30.1,54.2,700,Grooming
2025-04-03 14:00,29.3,68.9,1831,Grooming
2025-04-03 14:10,29.6,62.4,1799,Running
2025-04-03 14:20,26.2,57.5,1515,Running
2025-04-03 14:30,28.1,64.6,2700,Idle
2025-04-03 14:40,30.7,61.9,2045,Grooming
2025-04-03 14:50,25.2,53.3,1084,Eating
2025-04-03 15:00,25.0,58.7,1380,Eating
2025-04-03 15:10,26.4,62.7,2464,Grooming
2025-04-03 15:20,28.3,62.5,1689,Running
2025-04-03 15:30,26.8,60.5,2436,Eating
2025-04-03 15:40,25.0,61.5,1596,Eating
2025-04-03 15:50,27.6,57.6,1694,Running
2025-04-03 16:00,27.5,56.3,1399,Running
2025-04-03 16:10,26.9,60.8,1427,Running
2025-04-03 16:20,28.8,55.4,1051,Running
2025-04-03 16:30,25.5,64.6,1890,Idle
2025-04-03 16:40,28.1,63.7,1246,Running
2025-04-03 16:50,32.8,62.9,775,Grooming
2025-04-03 17:00,27.5,60.1,1027,Running
2025-04-03 17:10,27.9,55.3,1496,Running
2025-04-03 17:20,25.5,62.8,1863,Running
2025-04-03 17:30,30.3,57.8,2184,Eating
2025-04-03 17:40,25.0,65.4,1340,Running
2025-04-03 17:50,28.7,57.9,1413,Running
2025-04-03 18:00,26.5,53.6,1818,Eating
2025-04-03 18:10,26.2,56.9,1379,Running
2025-04-03 18:20,27.4,59.5,1725,Running
2025-04-03 18:30,26.3,65.6,2020,Eating
2025-04-03 18:40,26.6,58.0,2007,Eating
2025-04-03 18:50,32.6,61.2,1549,Running
2025-04-03 19:00,30.6,51.5,2049,Running
2025-04-03 19:10,26.5,65.1,1104,Running
2025-04-03 19:20,28.3,60.3,700,Eating
2025-04-03 19:30,28.6,58.6,1386,Running
2025-04-03 19:40,28.1,61.5,1292,Running
2025-04-03 19:50,27.2,57.8,1529,Running
2025-04-03 20:00,29.4,55.7,1816,Running
2025-04-03 20:10,26.5,54.3,1545,Eating
2025-04-03 20:20,27.7,62.1,1281,Running
2025-04-03 20:30,26.8,60.3,2040,Eating
2025-04-03 20:40,26.9,61.1,1586,Running
2025-04-03 20:50,29.1,64.3,1583,Running
2025-04-03 21:00,29.9,64.3,1403,Sleeping
2025-04-03 21:10,27.8,59.5,891,Idle
2025-04-03 21:20,27.7,63.3,1247,Sleeping
2025-04-03 21:30,28.9,60.8,1376,Sleeping
2025-04-03 21:40,25.0,63.4,2226,Grooming
2025-04-03 21:50,30.4,60.5,2178,Sleeping
2025-04-03 22:00,29.8,70.0,1778,Idle
2025-04-03 22:10,32.6,66.6,831,Sleeping
2025-04-03 22:20,29.4,56.1,1233,Sleeping
2025-04-03 22:30,31.5,61.9,1358,Sleeping
2025-04-03 22:40,25.8,55.2,2029,Sleeping
2025-04-03 22:50,27.4,61.8,1680,Sleeping
2025-04-03 23:00,27.7,53.6,1492,Idle
2025-04-03 23:10,28.7,66.7,1742,Idle
2025-04-03 23:20,28.3,64.7,1745,Sleeping
2025-04-03 23:30,25.2,66.6,2473,Sleeping
2025-04-03 23:40,26.5,60.2,1034,Sleeping
2025-04-03 23:50,29.4,53.5,2174,Grooming
2025-04-04 00:00,26.9,67.3,1140,Sleeping
2025-04-04 00:10,29.8,61.7,1681,Sleeping
2025-04-04 00:20,29.3,60.0,1742,Sleeping
2025-04-04 00:30,26.0,55.9,2021,Idle
2025-04-04 00:40,26.9,56.6,1956,Sleeping
2025-04-04 00:50,27.6,66.8,2322,Idle
2025-04-04 01:00,25.0,62.0,1711,Idle
2025-04-04 01:10,31.6,53.0,1766,Sleeping
2025-04-04 01:20,29.5,56.5,849,Idle
2025-04-04 01:30,25.0,59.3,700,Sleeping
2025-04-04 01:40,27.4,62.6,2193,Idle
2025-04-04 01:50,28.8,64.3,1427,Sleeping
2025-04-04 02:00,34.0,70.0,1348,Sleeping
2025-04-04 02:10,25.7,59.5,1192,Idle
2025-04-04 02:20,25.1,55.7,1653,Grooming
2025-04-04 02:30,26.3,66.2,1245,Idle
2025-04-04 02:40,26.4,59.8,1714,Sleeping
2025-04-04 02:50,27.0,68.1,1842,Idle
2025-04-04 03:00,26.9,60.7,1291,Sleeping
2025-04-04 03:10,27.9,64.3,1262,Sleeping
2025-04-04 03:20,29.1,60.7,1934,Sleeping
2025-04-04 03:30,30.8,63.8,2236,Idle
2025-04-04 03:40,25.0,62.6,1474,Grooming
2025-04-04 03:50,27.3,57.5,1032,Sleeping
2025-04-04 04:00,29.7,62.6,2086,Idle
2025-04-04 04:10,26.8,55.1,1337,Sleeping
2025-04-04 04:20,30.8,51.7,891,Sleeping
2025-04-04 04:30,26.4,55.1,1104,Sleeping
2025-04-04 04:40,27.7,56.4,1584,Sleeping
2025-04-04 04:50,28.2,52.8,1135,Sleeping
2025-04-04 05:00,28.6,67.6,1209,Idle
2025-04-04 05:10,29.7,62.7,1091,Sleeping
2025-04-04 05:20,27.2,56.3,2296,Sleeping
2025-04-04 05:30,25.0,60.3,2436,Grooming
2025-04-04 05:40,27.2,60.7,1330,Sleeping
2025-04-04 05:50,28.5,62.6,1344,Sleeping
2025-04-04 06:00,26.7,62.6,937,Grooming
2025-04-04 06:10,29.5,57.6,1422,Eating
2025-04-04 06:20,30.1,65.3,1528,Grooming
2025-04-04 06:30,28.1,54.0,770,Grooming
2025-04-04 06:40,28.2,67.9,2239,Grooming
2025-04-04 06:50,26.7,60.9,2231,Eating
2025-04-04 07:00,31.6,55.4,1919,Grooming
2025-04-04 07:10,25.8,58.1,1893,Eating
2025-04-04 07:20,29.1,53.8,1533,Eating
2025-04-04 07:30,29.6,55.1,1105,Eating
2025-04-04 07:40,25.0,57.3,1570,Eating
2025-04-04 07:50,31.6,57.8,1962,Eating
2025-04-04 08:00,25.2,60.0,1472,Eating
2025-04-04 08:10,29.2,52.9,1253,Eating
2025-04-04 08:20,29.9,63.6,971,Eating
2025-04-04 08:30,26.6,67.6,1796,Eating
2025-04-04 08:40,26.2,66.6,1374,Eating
2025-04-04 08:50,27.6,59.4,2059,Grooming
2025-04-04 09:00,25.0,62.9,2001,Eating
2025-04-04 09:10,28.3,58.7,1819,Eating
2025-04-04 09:20,25.0,60.4,700,Eating
2025-04-04 09:30,27.5,62.1,1570,Eating
2025-04-04 09:40,28.8,64.5,1602,Eating
2025-04-04 09:50,28.6,60.7,700,Grooming
2025-04-04 10:00,27.1,66.9,2477,Idle
2025-04-04 10:10,27.1,58.7,1937,Running
2025-04-04 10:20,30.5,59.4,2658,Eating
2025-04-04 10:30,25.0,60.8,1623,Eating
2025-04-04 10:40,29.1,60.0,1953,Running
2025-04-04 10:50,31.4,62.1,700,Grooming
2025-04-04 11:00,26.7,58.5,1116,Running
2025-04-04 11:10,30.7,60.6,1669,Idle
2025-04-04 11:20,27.2,56.5,1328,Running
2025-04-04 11:30,30.6,60.7,1142,Idle
2025-04-04 11:40,27.7,63.8,1993,Running
2025-04-04 11:50,33.2,55.7,1656,Eating
2025-04-04 12:00,31.0,59.9,1685,Grooming
2025-04-04 12:10,27.1,65.0,2268,Eating
2025-04-04 12:20,28.2,61.5,1794,Running
2025-04-04 12:30,30.4,57.4,2220,Grooming
2025-04-04 12:40,27.0,57.4,1633,Running
2025-04-04 12:50,29.2,57.5,1744,Running
2025-04-04 13:00,28.7,60.0,1782,Running
2025-04-04 13:10,25.6,55.6,1322,Grooming
2025-04-04 13:20,29.3,60.2,1655,Running
2025-04-04 13:30,25.7,60.3,2053,Eating
2025-04-04 13:40,29.8,54.3,1254,Idle
2025-04-04 13:50,28.7,51.1,1902,Grooming
2025-04-04 14:00,27.2,57.9,1388,Running
2025-04-04 14:10,25.8,62.4,1577,Eating
2025-04-04 14:20,27.2,55.1,1070,Running
2025-04-04 14:30,30.3,60.3,2125,Grooming
2025-04-04 14:40,26.6,61.2,2499,Eating
2025-04-04 14:50,31.1,61.7,2052,Eating
2025-04-04 15:00,28.9,58.1,1464,Running
2025-04-04 15:10,30.9,60.3,2107,Eating
2025-04-04 15:20,30.2,60.3,812,Grooming
2025-04-04 15:30,29.3,65.1,1399,Idle
2025-04-04 15:40,28.4,63.1,2498,Idle
2025-04-04 15:50,27.4,56.0,1215,Running
2025-04-04 16:00,29.5,59.1,848,Eating
2025-04-04 16:10,28.1,59.1,2058,Idle
